Time (s),Pack Current (A),Mode,Cell 1 Voltage (V),Cell 1 SoC (%),Cell 1 Balancing Active,Cell 2 Voltage (V),Cell 2 SoC (%),Cell 2 Balancing Active,Cell 3 Voltage (V),Cell 3 SoC (%),Cell 3 Balancing Active,Cell 4 Voltage (V),Cell 4 SoC (%),Cell 4 Balancing Active
47,1.5,CC,3.5528333333333335,15.783333333333378,0.0,3.5104931972789117,10.799319727891145,0.0,3.592875816993464,20.76797385620915,0.0,3.5258965053763442,12.789650537634431,0.0
48,1.5,CC,3.5530000000000004,15.800000000000045,0.0,3.5106632653061225,10.816326530612233,0.0,3.592990196078431,20.784313725490193,0.0,3.5260645161290327,12.806451612903249,0.0
49,1.5,CC,3.553166666666667,15.816666666666713,0.0,3.5108333333333337,10.833333333333321,0.0,3.5931045751633985,20.80065359477124,0.0,3.5262325268817207,12.823252688172069,0.0
50,1.5,CC,3.5533333333333337,15.83333333333338,0.0,3.5110034013605445,10.85034013605441,0.0,3.593218954248366,20.816993464052285,0.0,3.526400537634409,12.840053763440887,0.0
51,1.5,CC,3.5535000000000005,15.850000000000048,0.0,3.511173469387755,10.867346938775498,0.0,3.5933333333333333,20.833333333333332,0.0,3.526568548387097,12.856854838709705,0.0
52,1.5,CC,3.553666666666667,15.866666666666715,0.0,3.5113435374149664,10.884353741496586,0.0,3.5934477124183006,20.849673202614376,0.0,3.5267365591397852,12.873655913978524,0.0
53,1.5,CC,3.553833333333334,15.883333333333383,0.0,3.511513605442177,10.901360544217674,0.0,3.593562091503268,20.866013071895424,0.0,3.5269045698924737,12.890456989247342,0.0
54,1.5,CC,3.5540000000000003,15.90000000000005,0.0,3.511683673469388,10.918367346938762,0.0,3.5936764705882354,20.882352941176467,0.0,3.5270725806451617,12.907258064516162,0.0
55,1.5,CC,3.554166666666667,15.916666666666718,0.0,3.5118537414965987,10.93537414965985,0.0,3.5937908496732027,20.898692810457515,0.0,3.5272405913978497,12.92405913978498,0.0
56,1.5,CC,3.5543333333333336,15.933333333333385,0.0,3.51202380952381,10.952380952380938,0.0,3.5939052287581696,20.91503267973856,0.0,3.527408602150538,12.940860215053798,0.0
57,1.5,CC,3.5545000000000004,15.950000000000053,0.0,3.5121938775510206,10.969387755102026,0.0,3.594019607843137,20.931372549019606,0.0,3.527576612903226,12.957661290322617,0.0
58,1.5,CC,3.5546666666666673,15.96666666666672,0.0,3.5123639455782314,10.986394557823115,0.0,3.5941339869281044,20.94771241830065,0.0,3.5277446236559147,12.974462365591435,0.0
59,1.5,CC,3.5548333333333337,15.983333333333388,0.0,3.5125340136054426,11.003401360544203,0.0,3.5942483660130717,20.964052287581698,0.0,3.5279126344086027,12.991263440860253,0.0
60,1.5,CC,3.5550000000000006,16.000000000000057,0.0,3.5127040816326534,11.02040816326529,0.0,3.594362745098039,20.98039215686274,0.0,3.5280806451612907,13.008064516129073,0.0
61,1.5,CC,3.555166666666667,16.016666666666723,0.0,3.512874149659864,11.037414965986379,0.0,3.5944771241830065,20.99673202614379,0.0,3.528248655913979,13.02486559139789,0.0
